abbrev,        name,                                        scalerank,        type,             location,                                   country,                        city,                           city_location,              elevation
LUH,           Sahnewal,                                    9,                small,            POINT(75.9570722403652 30.8503598561702),   India,                          Ludhiāna,                       POINT(75.85 30.91),         255.0
SSE,           Solapur,                                     9,                mid,              POINT(75.9330597710755 17.625415183635),    India,                          Solāpur,                        POINT(75.92 17.68),         481.0
IXR,           Birsa Munda,                                 9,                mid,              POINT(85.3235970368767 23.3177245989962),   India,                          Rānchi,                         POINT(85.33 23.36),         655.0
AWZ,           Ahwaz,                                       9,                mid,              POINT(48.7471065435931 31.3431585560757),   Iran,                           Ahvāz,                          POINT(48.6692 31.3203),     20.0
GWL,           Gwalior,                                     9,                mid:military,     POINT(78.2172186546348 26.285487697937),    India,                          Gwalior,                        POINT(78.178 26.2215),      189.0
HOD,           Hodeidah Int'l,                              9,                mid,              POINT(42.97109630194 14.7552534413725),     Yemen,                          Al Ḩudaydah,                    POINT(42.9511 14.8022),     
IDR,           Devi Ahilyabai Holkar Int'l,                 9,                mid,              POINT(75.8092915005895 22.727749187571),    India,                          Indore,                         POINT(75.8472 22.7167),     564.0
ISK,           Gandhinagar,                                 9,                mid,              POINT(73.8105674924689 19.9660205672806),   India,                          Nāsik,                          POINT(73.78 20.0),          598.0
IXC,           Chandigarh Int'l,                            9,                major:military,   POINT(76.8017261105242 30.6707248949667),   India,                          Chandīgarh,                     POINT(76.78 30.75),         309.0
IXU,           Aurangabad,                                  9,                mid,              POINT(75.3958432922005 19.8672969621082),   India,                          Jālna,                          POINT(75.8864 19.841),      583.0
LYP,           Faisalabad Int'l,                            9,                mid:military,     POINT(72.9878190922305 31.3627435480862),   Pakistan,                       Faisalabad,                     POINT(73.0911 31.4167),     181.0
OMS,           Omsk Tsentralny,                             9,                mid,              POINT(73.3163595376585 54.9576482934059),   Russia,                         Omsk,                           POINT(73.3833 54.9667),     96.0
OVB,           Novosibirsk Tolmachev,                       9,                mid,              POINT(82.6671524525865 55.0095847136264),   Russia,                         Novosibirsk,                    POINT(82.9167 55.0333),     
OZH,           Zaporozhye Int'l,                            9,                mid:military,     POINT(35.3018728575279 47.8732635579023),   Ukraine,                        Zaporizhzhia,                   POINT(35.1175 47.85),       
PKU,           Simpang Tiga,                                9,                mid,              POINT(101.446569298441 0.464600872998505),  Indonesia,                      Pekanbaru,                      POINT(101.4453 0.5092),     32.0
ROP,           Rota Int'l,                                  9,                mid,              POINT(145.243980298582 14.1717712971216),   Northern Mariana Islands,       Capitol Hill,                   POINT(145.7546 15.2137),    186.0
SGC,           Surgut,                                      9,                mid,              POINT(73.4084964764375 61.3401672194481),   Russia,                         Surgut,                         POINT(73.4333 61.25),       61.0
TRZ,           Tiruchirappalli,                             9,                mid,              POINT(78.7089578747476 10.7603571306554),   India,                          Trichinopoly,                   POINT(78.7047 10.7903),     88.0
TUK,           Turbat Int'l,                                9,                mid,              POINT(63.0279333519181 25.988794590011),    Pakistan,                       Turbat,                         POINT(63.0544 26.0031),     
UET,           Quetta Int'l,                                9,                mid,              POINT(66.9487311480949 30.249043186181),    Pakistan,                       Quetta,                         POINT(67.0 30.1833),        1606.0
ZAH,           Zahedan Int'l,                               9,                mid,              POINT(60.900708564915 29.4752941956573),    Iran,                           Zāhedān,                        POINT(60.8628 29.4964),     1378.0
MLG,           Abdul Rachman Saleh,                         9,                mid:military,     POINT(112.711418617258 -7.92998002840567),  Indonesia,                      Malang,                         POINT(112.62 -7.98),        527.0
BAX,           Barnaul,                                     9,                mid,              POINT(83.5504532124038 53.3633850813046),   Russia,                         Barnaul,                        POINT(83.75 53.3333),       256.0
VIAX,          Adampur,                                     9,                military:mid,     POINT(75.7584828456005 31.4329422397715),   India,                          Jalandhar,                      POINT(75.4432 31.2569),     
VIBY,          Bareilly,                                    9,                military,         POINT(79.452002687657 28.4218087161144),    India,                          Bareilly,                       POINT(79.415 28.364),       
OPQS,          Dhamial,                                     9,                small,            POINT(73.0320498392002 33.5614146278861),   Pakistan,                       Rawalpindi,                     POINT(73.0333 33.6),        
CJJ,           Cheongju Int'l,                              9,                major,            POINT(127.495916124681 36.7220227766673),   South Korea,                    Cheongju,                       POINT(127.4833 36.6333),    
KWJ,           Gwangju,                                     9,                mid:military,     POINT(126.810839481226 35.1400051390198),   South Korea,                    Naju,                           POINT(126.7167 35.0333),    15.0
TAE,           Daegu Int'l,                                 9,                mid,              POINT(128.637537699933 35.8999277969087),   South Korea,                    Daegu,                          POINT(128.6017 35.8717),    36.0
USN,           Ulsan,                                       9,                mid,              POINT(129.355731047528 35.5928957527107),   South Korea,                    Ulsan,                          POINT(129.3167 35.55),      14.0
WIIT,          Radin Inten II,                              9,                mid,              POINT(105.176060419161 -5.242566777132),    Indonesia,                      Bandar Lampung,                 POINT(105.2667 -5.45),      
IXD,           Allahabad,                                   9,                military,         POINT(81.7317271462187 25.443522027821),    India,                          Prayagraj,                      POINT(81.8464 25.4358),     99.0
